i2t_cvr_lift,i2t_cvr_base,i2t_cvr_test,min_impr_each,duration_days,total_budget,total_trx_base,total_trx_test,total_trx_uplift,total_gs_uplift
1%,0.4386%,0.4430%," 35,772,836 ",4738," Û 4,551,120 ",156889,158458,1569," Û 243,336 "
3%,0.4386%,0.4517%," 4,014,133 ",532," Û 510,689 ",17605,18133,528," Û 81,915 "
5%,0.4386%,0.4605%," 1,459,261 ",193," Û 185,651 ",6400,6720,320," Û 49,631 "
7%,0.4386%,0.4693%," 751,752 ",100," Û 95,640 ",3297,3528,231," Û 35,795 "
9%,0.4386%,0.4780%," 459,137 ",61," Û 58,413 ",2014,2195,181," Û 28,108 "
11%,0.4386%,0.4868%," 310,284 ",41," Û 39,475 ",1361,1511,150," Û 23,217 "
13%,0.4386%,0.4956%," 224,252 ",30," Û 28,530 ",984,1111,128," Û 19,830 "
15%,0.4386%,0.5044%," 170,012 ",23," Û 21,629 ",746,857,112," Û 17,347 "
17%,0.4386%,0.5131%," 133,588 ",18," Û 16,995 ",586,685,100," Û 15,448 "
19%,0.4386%,0.5219%," 107,925 ",14," Û 13,731 ",473,563,90," Û 13,949 "